Start Menu unloaded
Character select loaded
Character Select Unloaded
Weapon Select loaded
Weapon Select unloaded
Game Loaded
Dealt 6 damage
Dealt 11 damage
Dealt 12 damage
Dealt 11 damage
Dealt 12 damage
Dealt 44 damage
Dealt 20 damage
Dealt 40 damage
Dealt 10 damage
Dealt 11 damage
Dealt 10 damage
Dealt 11 damage
Dealt 10 damage
Dealt 10 damage
Dealt 11 damage
Dealt 11 damage
Dealt 10 damage
Dealt 10 damage
Dealt 11 damage
Dealt 42 damage
Dealt 11 damage
Dealt 11 damage
Dealt 10 damage
Dealt 44 damage
Dealt 40 damage
Dealt 11 damage
Dealt 10 damage
Dealt 11 damage
Dealt 10 damage
Dealt 11 damage
Dealt 16 damage
Dealt 17 damage
Dealt 11 damage
Dealt 11 damage
Dealt 10 damage
Dealt 44 damage
Dealt 10 damage
Dealt 11 damage
Dealt 11 damage
Game Unloaded
